Shipment Code,CV Number,No. Of Sacks,Total CBM,Weight,Shipment Status,Posting Date,Order Date,Payment,Product,Product Code,Age Range,Unit,Unit Price,Quantity,Shipping Fee 1,Exchange Rates,PHP,Sub Total (PHP),Transaction Fee,Grand Total,Shipping Fee 2,Shipping Fee 3,Packaging,Suggested Price,Actual Price,Base Price,COGS,Projected Sales Total,Projected Profit,Projected Profit (%),Total Markup
KPC 23930A-00195,,,,,,041125,,Paid,Baby Berry Tops,,6m-24m,pc,0.70,444,6.30,60.00,,,,,"1,827.79",253.86,253.86,,69.00,,,,,,
KPC 23930A-00195,,,,,,041125,,Paid,Disney Longsleeves Tops,,0-24m,pc,0.76,275,3.90,60.00,,,,,"1,132.08",157.23,157.23,,65.00,,,,,,
KPC 23930A-00196,,,,,,041125,,Paid,Dymples Shortsleeve Onesie,,0-24M,pc,0.68,5401,35.74,60.00,,,,,"13,403.83","1,861.64","1,861.64",,64.00,,,,,,
KPC 23930A-00196,,,,,,041125,,Paid,Dymples Sleeveless Tops,,0-24M,pc,0.59,1343,8.89,60.00,,,,,"3,332.97",462.91,462.91,,64.00,,,,,,
KPC 23930A-00196,,,,,,041125,,Paid,Dymples Footed Pants,,0-12m,pc,0.56,244,1.61,60.00,,,,,605.54,84.10,84.10,,58.00,,,,,,
KPC 23930A-00196,,,,,,041125,,Paid,Baby Berry/Dymples Shorts,,3m-24m,pc,0.58,265,1.75,60.00,,,,,657.66,91.34,91.34,,65.00,,,,,,
KPC 23930A-00198,,,,,,041125,,Paid,Baby Berry Romper,,0-18m,pc,1.10,397,5.62,60.00,,,,,"1,744.95",242.35,242.35,,119.00,,,,,,
KPC 23930A-00198,,,,,,041125,,Paid,Baby Berry Longsleeves Onesie,,0-24m,pc,0.76,2316,24.60,60.00,,,,,"7,634.70","1,060.37","1,060.37",,58.00,,,,,,
KPC 23930A-00198,,,,,,041125,,Paid,Baby Berry Shortsleeves Onesie,,0-24m,pc,0.68,2195,15.54,60.00,,,,,"4,823.88",669.98,669.98,,58.00,,,,,,
KPC 23930A-00198,,,,,,041125,,Paid,Baby Berry Frogsuit,,0-18m`,pc,1.52,691,12.23,60.00,,,,,"3,796.47",527.29,527.29,,119.00,,,,,,
KPC 23930A-00197,,,,,,041225,,Paid,Btween Hair Accessory,,Onesie,pc,0.10,5000,0.00,60.00,,,,,"1,500.00","1,500.00","1,500.00",,9.00,,,,,,
KPC 23930A-00185,,,,,,041425,,Paid,Romper With Hanger,,0-24,set,1.13,394,0.00,60.00,,,,,"1,500.00",100.00,100.00,,89.00,,,,,,
KPC 23930A-00192,,,,,,042325,,Paid,Mixed Set,,0-24m,set,1.98,515,0.00,60.00,,,,,"3,825.00",714.00,714.00,,180.00,,,,,,
KPC 23930A-00188,,,,,,042325,,Paid,Bonnets,,0-24m,pc,0.20,1000,0.00,60.00,,,,,800.00,300.00,300.00,,18.00,,,,,,
KPC 23930A-00188,,,,,,042325,,Paid,Bibs,,Onesie,pc,0.20,1000,0.00,60.00,,,,,800.00,300.00,300.00,,19.00,,,,,,
KPC 23930A-00188,,,,,,042425,,Paid,Romper,,0-24m,pc,1.07,500,0.00,60.00,,,,,"1,625.00",300.00,300.00,,89.00,,,,,,
,,,,,,042525,,Paid,Bibs Batch 2,,0-24,pc,0.20,1000,0.00,60.00,,,,,750.00,500.00,500.00,,19.00,,,,,,
,,,,,,042525,,Paid,Romper Batch 3,,0-24m,pc,1.07,500,0.00,60.00,,,,,750.00,500.00,500.00,,89.00,,,,,,
KPC 23930A-00200,,,,,,050225,,Paid,Rabbit Bear Dress 2-PC Set,,12-24m,set,3.85,72,0.00,58.00,,,,,500.00,250.00,250.00,,252.00,,,,,,
KPC 23930A-00200,,,,,,050225,,Paid,Rabbit Bear 3-PC Girl Set,,12-24m,set,3.85,48,0.00,58.00,,,,,500.00,200.00,200.00,,252.00,,,,,,
KPC 23930A-00200,,,,,,050225,,Paid,Rabbit Bear 3-PC Boy Set,,12-24m,set,3.85,36,0.00,58.00,,,,,300.00,200.00,200.00,,252.00,,,,,,
KPC 23930A-00199,,,,,,051425,,Paid,Sleeveless Onesie,,0-24m,pc,0.64,665,0.00,58.00,,,,,"1,500.00","1,000.00","1,000.00",,59.00,,,,,,
,,,,,,051725,,,Rabbit+Bear,,,,,,,,,,,,,,,,,,,,,,
,,,,,,052325,,Paid,Baby Berry 2 PC set,,0-24m,set,1.80,648,12.74,60.00,,,,,"3,952.29",548.93,548.93,,155.00,,,,,,
KPC 23930A-00202,,,,,,053125,,Paid,Milkberry Pants,,12m-5T,pc,0.62,142,1.67,60.00,,,,,519.65,72.17,72.17,,59.00,,,,,,
KPC 23930A-00202,,,,,,053125,,Paid,Milkberry Shorts,,12m-5T,pc,0.55,290,2.28,60.00,,,,,707.51,98.27,98.27,,49.00,,,,,,
KPC 23930A-00202,,,,,,052325,,Paid,Banboo Cotton Tops,,12m-5T,pc,0.69,420,3.30,60.00,,,,,"1,024.67",142.31,142.31,,57.00,,,,,,
KPC 23930A-00202,,,,,,052325,,Paid,Milkberry 2-PC Top And Short Set,,12m-5T,pc,1.94,634,12.46,60.00,,,,,"3,866.90",537.07,537.07,,168.00,,,,,,
KPC 23930A-00203,,,,,,052325,,Paid,Milkberry 2-PC Set,,12m-5T,set,1.94,395,9.39,60.00,,,,,"2,971.13",479.21,479.21,,165.00,,,,,,
KPC 23930A-00203,,,,,,053125,,Paid,Cotton On Baby Sweatshirt,,0-24m,pc,1.09,218,1.73,60.00,,,,,546.59,88.16,88.16,,99.00,,,,,,
KPC 23930A-00203,,,,,,053125,,Paid,Cotton On Baby Tops,,0-3T,pc,0.83,13,0.10,60.00,,,,,32.59,5.26,5.26,,75.00,,,,,,
KPC 23930A-00203,,,,,,053125,,Paid,Cotton On Pants,,0-18m,pc,0.76,35,0.28,60.00,,,,,87.75,14.15,14.15,,75.00,,,,,,
KPC 23930A-00203,,,,,,053125,,Paid,Cotton On Jogger,,0-24m,pc,0.83,96,0.76,60.00,,,,,240.70,38.82,38.82,,75.00,,,,,,
KPC 23930A-00203,,,,,,053125,,Paid,Cotton On Shorts,,0-24m,pc,0.76,447,3.54,60.00,,,,,"1,120.75",180.77,180.77,,69.00,,,,,,
KPC 23930A-00203,,,,,,060725,,Paid,Mixed Tops,,0-3T,pc,0.97,93,0.74,60.00,,,,,233.18,37.61,37.61,,78.00,,,,,,
KPC 23930A-00203,,,,,,053125,,Paid,Cotton On & Milky Romper,,0-9m,pc,1.40,30,0.36,60.00,,,,,112.83,18.20,18.20,,125.00,,,,,,
,,,,,,060725,,Paid,Billieblush Poncho Towel,,1T-2T,pc,0.69,11,0.13,60.00,,,,,41.37,6.67,6.67,,85.00,,,,,,
KPC 23930A-00203,,,,,,060725,,Paid,Billieblush Romper,,12m-4T,pc,1.24,14,0.17,60.00,,,,,52.65,8.49,8.49,,105.00,,,,,,
KPC 23930A-00203,,,,,,060225,,Paid,Dymples Onesie Dress,,0-24m,pc,1.86,514,4.07,60.00,,,,,"1,288.74",207.86,207.86,,147.00,,,,,,
KPC 23930A-00203,,,,,,071025,,Paid,Yamp Zippered Romper,,0-9m,pc,1.50,37,0.44,60.00,,,,,139.15,22.44,22.44,,99.00,,,,,,
KPC 23930A-00203,,,,,,061225,,Paid,Onesie 3-PC Set,,0-9m,set,2.19,376,11.92,60.00,,,,,"3,770.95",608.22,608.22,,180.00,,,,,,
KPC 23930A-00203,,,,,,060225,,Paid,Ruffled Onesie,,0-9m,pc,0.69,99,0.78,60.00,,,,,248.22,40.04,40.04,,59.00,,,,,,
KPC 23930A-00203,,,,,,053125,,Paid,Ruffled Frogsuit,,0-9m,pc,1.64,120,1.90,60.00,,,,,601.75,97.06,97.06,,139.00,,,,,,
KPC 23930A-00203,,,,,,053125,,Paid,Ruffled Zippered Frogsuit,,0-9m,pc,1.64,115,1.82,60.00,,,,,576.67,93.01,93.01,,139.00,,,,,,
KPC 23930A-00203,,,,,,060725,,Paid,Milkberry 2PC Girl Set,,0-9m,set,1.85,147,2.91,60.00,,,,,921.43,148.62,148.62,,160.00,,,,,,
KPC 23930A-00203,,,,,,060725,,Paid,Guess Frogsuit,,0-9m,pc,1.86,123,2.44,60.00,,,,,770.99,124.35,124.35,,180.00,,,,,,
KPC 23930A-00203,,,,,,053125,,Paid,Nine West 3PC Onesie,,0-9m,pc,2.33,155,4.91,60.00,,,,,"1,554.51",250.73,250.73,,215.00,,,,,,
KPC 23930A-00203,,,,,,060725,,Paid,H&M 2PC Set,,2T-8T,set,2.90,25,0.59,60.00,,,,,188.05,30.33,30.33,,255.00,,,,,,
KPC 23930A-00201,,,,,,032125,,Paid,R+B Frogsuit And Romper Set,,0-9m,pc,2.62,600,12.00,58.00,,,,,"3,000.00","1,500.00","1,500.00",,239.00,,,,,,
KPC 23930A-00201,,,,,,031425,,Paid,Baby Carrier,,0-24,pc,2.76,200,12.00,58.00,,,,,"3,800.00","1,500.00","1,500.00",,250.00,,,,,,
KPC 23930A-00201,,,,,,060525,,Paid,Little Beggining Romper,,0-18m,pc,1.39,728,12.00,58.00,,,,,"3,800.00",200.00,200.00,,89.00,,,,,,
